,Unnamed: 0,longitude,latitude,code,name,state,nearest_town_distance,nearest_town_bearing,city,geometry
0,0,-73.423,44.568,AUSA,Ausable Point  - DEC,NY,5,E,Peru,POINT (-73.423 44.568)
1,1,-76.807,42.485,BACK,Backbone Horse Camp,NY,5,NE,Burdett,POINT (-76.807 42.485)
2,2,-73.449,40.762,BATT,Battle Row,NY,0,E,Old Bethpage,POINT (-73.449 40.762)
3,3,-75.069,42.118,BEAR,Bear Spring Mountain - DEC,NY,5,SE,Walton,POINT (-75.069 42.118)
4,4,-74.07,41.229,BEVP,Beaver Pond - Harriman State Park,NY,4,W,Stony Point,POINT (-74.07 41.229)
5,5,-74.839,41.979,BEVK,Beaverkill - DEC,NY,5,NE,Roscoe,POINT (-74.839 41.979)
6,6,-73.925,41.27,BLUE,Blue Mountain Reservation,NY,1,S,Peekskill,POINT (-73.925 41.27)
7,7,-76.799,42.484,BLUB,Blueberry Patch,NY,5,NE,Burdett,POINT (-76.799 42.484)
8,8,-73.222,40.825,BLYD,Blydenburgh Park,NY,2,SW,Smithtown,POINT (-73.222 40.825)
9,9,-75.68,42.522,BOWM,Bowman Lake State Park,NY,7,NW,Oxford,POINT (-75.68 42.522)
10,10,-74.118,44.505,BUCK,Buck Pond - DEC,NY,6,NE,Gabriels,POINT (-74.118 44.505)
11,11,-76.265,44.163,BURN,Burnham Point State Park,NY,4,NE,Cape Vincent,POINT (-76.265 44.163)
12,12,-76.521,42.416,BUTT,Buttermilk Falls State Park,NY,2,SW,Ithaca,POINT (-76.521 42.416)
13,13,-78.846,42.037,CAIN,Cain Hollow (Quaker Area) - Allegany State Park,NY,11,SW,Salamanca,POINT (-78.846 42.037)
14,14,-74.468,43.125,CARO,Caroga Lake - DEC,NY,10,NW,Johnstown,POINT (-74.468 43.125)
15,15,-72.943,40.87,CATH,Cathedral Pines County Park,NY,1,S,Middle Island,POINT (-72.943 40.87)
16,16,-76.753,42.896,CAYU,Cayuga Lake State Park,NY,2,SE,Seneca Falls,POINT (-76.753 42.896)
17,17,-76.197,44.204,CEDP,Cedar Point State Park,NY,6,SW,Clayton,POINT (-76.197 44.204)
18,18,-72.226,41.028,CEDS,Cedar Point Suffolk County Park,NY,5,NW,East Hampton,POINT (-72.226 41.028)
19,19,-75.818,42.215,CHEN,Chenango Valley State Park,NY,2,SE,Chenango Forks,POINT (-75.818 42.215)
20,20,-73.41,42.622,CHER,Cherry Plain State Park,NY,3,W,Cherry Plain,POINT (-73.41 42.622)
21,21,-73.831,41.461,CLAR,Clarence Fahnestock State Park,NY,8,W,Carmel,POINT (-73.831 41.461)
22,22,-76.86,42.384,CLUT,Clute Memorial Park,NY,1,E,Watkins Glen,POINT (-76.86 42.384)
23,23,-75.14,44.892,COLE,Coles Creek State Park,NY,4,NE,Waddington,POINT (-75.14 44.892)
24,24,-75.743,42.3,COOK,Cook County Park,NY,2,SE,Greene,POINT (-75.743 42.3)
25,25,-73.52,42.121,COPA,Copake Falls - Taconic State Park,NY,0,E,Copake Falls,POINT (-73.52 42.121)
26,26,-74.821,44.197,CRAN,Cranberry Lake  - DEC,NY,2,SE,Cranberry Lake,POINT (-74.821 44.197)
