Unnamed: 0,longitude,latitude,code,name,state,nearest_town_distance,nearest_town_bearing,city,cluster
0,-73.423,44.568,AUSA,Ausable Point  - DEC,NY,5,E,Peru,0
1,-76.807,42.485,BACK,Backbone Horse Camp,NY,5,NE,Burdett,0
2,-73.449,40.762,BATT,Battle Row,NY,0,E,Old Bethpage,0
3,-75.069,42.118,BEAR,Bear Spring Mountain - DEC,NY,5,SE,Walton,0
4,-74.07,41.229,BEVP,Beaver Pond - Harriman State Park,NY,4,W,Stony Point,0
5,-74.839,41.979,BEVK,Beaverkill - DEC,NY,5,NE,Roscoe,0
6,-73.925,41.27,BLUE,Blue Mountain Reservation,NY,1,S,Peekskill,0
7,-76.799,42.484,BLUB,Blueberry Patch,NY,5,NE,Burdett,0
8,-73.222,40.825,BLYD,Blydenburgh Park,NY,2,SW,Smithtown,0
9,-75.68,42.522,BOWM,Bowman Lake State Park,NY,7,NW,Oxford,0
10,-74.118,44.505,BUCK,Buck Pond - DEC,NY,6,NE,Gabriels,0
11,-76.265,44.163,BURN,Burnham Point State Park,NY,4,NE,Cape Vincent,0
12,-76.521,42.416,BUTT,Buttermilk Falls State Park,NY,2,SW,Ithaca,0
13,-78.846,42.037,CAIN,Cain Hollow (Quaker Area) - Allegany State Park,NY,11,SW,Salamanca,0
14,-74.468,43.125,CARO,Caroga Lake - DEC,NY,10,NW,Johnstown,0
15,-72.943,40.87,CATH,Cathedral Pines County Park,NY,1,S,Middle Island,0
16,-76.753,42.896,CAYU,Cayuga Lake State Park,NY,2,SE,Seneca Falls,0
17,-76.197,44.204,CEDP,Cedar Point State Park,NY,6,SW,Clayton,0
18,-72.226,41.028,CEDS,Cedar Point Suffolk County Park,NY,5,NW,East Hampton,0
19,-75.818,42.215,CHEN,Chenango Valley State Park,NY,2,SE,Chenango Forks,0
20,-73.41,42.622,CHER,Cherry Plain State Park,NY,3,W,Cherry Plain,0
21,-73.831,41.461,CLAR,Clarence Fahnestock State Park,NY,8,W,Carmel,0
22,-76.86,42.384,CLUT,Clute Memorial Park,NY,1,E,Watkins Glen,0
23,-75.14,44.892,COLE,Coles Creek State Park,NY,4,NE,Waddington,0
24,-75.743,42.3,COOK,Cook County Park,NY,2,SE,Greene,0
25,-73.52,42.121,COPA,Copake Falls - Taconic State Park,NY,0,E,Copake Falls,0
26,-74.821,44.197,CRAN,Cranberry Lake  - DEC,NY,2,SE,Cranberry Lake,0
27,-73.896,41.178,CROT,Croton Point Park,NY,2,S,Croton-on-Huds,0
28,-73.425,44.025,CROW,Crown Point - DEC,NY,5,N,Crown Point,0
29,-73.426,44.725,CUMB,Cumberland Bay State Park,NY,2,NE,Plattsburg,0
30,-72.738,40.771,CUPS,Cupsogue County Park,NY,5,SW,Westhampton,0
31,-78.433,42.902,DARI,Darien Lakes State Park,NY,2,W,Darien Center,0
32,-75.417,43.292,DELT,Delta Lake State Park,NY,6,N,Rome,0
33,-74.208,42.151,DEVI,Devils Tombstone - DEC,NY,3,NE,Lanesville,0
34,-75.997,44.33,DEWO,DeWolf Point State Park,NY,3,N,Fineview,0
35,-73.793,43.748,EAGL,Eagle Point - DEC,NY,2,NE,Pottersville,0
36,-75.223,42.327,EAST,East Sidney Dam Rec Area,NY,9,E,Sidney,0
37,-75.477,44.63,EELW,Eel Weir State Park,NY,4,S,Ogdensburg,0
38,-74.712,43.763,EIGH,Eighth Lake - DEC,NY,4,E,Inlet,0
39,-79.115,42.602,EVAN,Evangola State Park,NY,2,N,Irving,0
40,-76.689,43.343,FAIR,Fair Haven Beach State Park,NY,2,N,Fair Haven,0
41,-76.42,42.7,FILL,Fillmore Glen State Park,NY,1,S,Moravia,0
42,-74.365,44.308,FISH,Fish Creek Pond - DEC,NY,8,NE,Tupper Lake,0
43,-73.889,40.582,FLOB,Floyd Bennett Field - Gateway National Rec Area,NY,6,SE,Brooklyn,0
